id,fiscal_year,budget_stage,agency,region,province,city_municipality,possible_congressional_district,implementing_office,project_title,project_type,amount,amount_display,location_clarity,title_specificity,needs_manual_review_score,review_label,review_reason,is_large_allocation_score,citizen_readability,source_name,source_url,source_page,source_pdf_page,row_level,parent_row_id,is_leaf,extraction_confidence,extraction_note,raw_text
DPWH-2026-172-01956,2026,NEP,DPWH,National Capital Region (NCR),,,,,Loan Proceeds,other,369172000.0,"₱369,172,000",region_only,broad,0.86,Broad Project Title,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,885,172,budget_line,DPWH-2026-172-01954,1,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,Loan Proceeds
DPWH-2026-045-00463,2026,NEP,DPWH,Cordillera Administrative Region (CAR),,,,,Rehabilitation /   Reconstruction / Upgrading of Damaged Paved Roads - Tertiary Roads,road,366712000.0,"₱366,712,000",region_only,specific,0.78,,,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,758,45,regional_summary,DPWH-2026-045-00457,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,Cordillera Administrative Region (CAR)
DPWH-2026-090-01096,2026,NEP,DPWH,Region X - Northern Mindanao,,,,,Retrofitting /   Strengthening of Permanent Bridges,bridge,361000000.0,"₱361,000,000",region_only,broad,0.77,,,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,803,90,regional_summary,DPWH-2026-087-01051,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,Region X - Northern Mindanao
DPWH-2026-168-01910,2026,NEP,DPWH,Negros Island Region,,,,,B.1 LOCALLY-FUNDED PROJECT(S)   Buildings And Other Structures - MULTIPURPOSE / FACILITIES - National Building Program,public_building,357743000.0,"₱357,743,000",region_only,broad,0.87,Broad Project Title,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,881,168,regional_summary,DPWH-2026-166-01872,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,Negros Island Region
DPWH-2026-069-00742,2026,NEP,DPWH,Region IVA - CALABARZON,,,,,Road Widening -   Secondary Roads,road,354306000.0,"₱354,306,000",region_only,broad,0.82,Needs Manual Review,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,782,69,regional_summary,DPWH-2026-069-00726,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,Region IVA - CALABARZON
DPWH-2026-104-01252,2026,NEP,DPWH,Region X - Northern Mindanao,,,,Lanao del Norte 1st District Engineering Office,Construction /   Maintenance of Flood Mitigation Structures and Drainage Systems,flood_control,353000000.0,"₱353,000,000",clear,specific,0.78,,,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,817,104,office_allocation,DPWH-2026-099-01243,1,source_linked,Coordinate-extracted from the official PDF; check the source page before interpretation.,Lanao del Norte 1st District Engineering Office
DPWH-2026-068-00708,2026,NEP,DPWH,Region X - Northern Mindanao,,,,,Road Widening -   Primary Roads,road,350653000.0,"₱350,653,000",region_only,broad,0.84,Needs Manual Review,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,781,68,regional_summary,DPWH-2026-066-00696,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,Region X - Northern Mindanao
DPWH-2026-154-01752,2026,NEP,DPWH,Region VII - Central Visayas,,,,,Sustainable   Infrastructure Projects Alleviating Gaps ( SIPAG ) - Flood Mitigation Structures protecting Major / Strategic Public Buildings / Facilities,flood_control,349577000.0,"₱349,577,000",region_only,broad,0.82,Needs Manual Review,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,867,154,regional_summary,DPWH-2026-152-01742,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,Region VII - Central Visayas
DPWH-2026-104-01270,2026,NEP,DPWH,National Capital Region (NCR),,,,,Metro Manila 1st District Engineering office,other,340000000.0,"₱340,000,000",partial,broad,0.76,Broad Project Title,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,817,104,budget_line,DPWH-2026-104-01267,1,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,Metro Manila 1st District Engineering office
DPWH-2026-081-00936,2026,NEP,DPWH,Region X - Northern Mindanao,,,,,off - Carriageway  Improvement - Secondary Roads,road,335550000.0,"₱335,550,000",region_only,broad,0.85,Needs Manual Review,Jev offline data-clarity decision. Check the official source page.,,moderate,DBM FY 2026 NEP DPWH Expenditure Program,https://www.dbm.gov.ph/wp-content/uploads/NEP2026/DPWH/DPWH.pdf,794,81,program_summary,,0,coordinate_extracted,Coordinate-extracted from the official PDF; check the source page before interpretation.,off - Carriageway  Improvement - Secondary Roads
